"filename", "language", "PHP", "JSON", "Markdown", "JavaScript", "CSS", "Ini", "comment", "blank", "total"
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\asset\css\com.css", "CSS", 0, 0, 0, 0, 794, 0, 41, 48, 883
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\asset\image\pictgram\desktop.ini", "Ini", 0, 0, 0, 0, 0, 7, 0, 0, 7
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\asset\js\api.js", "JavaScript", 0, 0, 0, 100, 0, 0, 19, 2, 121
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\asset\js\driver.js", "JavaScript", 0, 0, 0, 611, 0, 0, 109, 26, 746
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\asset\js\frame.js", "JavaScript", 0, 0, 0, 703, 0, 0, 120, 45, 868
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\asset\js\jquery.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 0, 2
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\asset\js\main.js", "JavaScript", 0, 0, 0, 614, 0, 0, 82, 47, 743
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\asset\json\announce.json", "JSON", 0, 176, 0, 0, 0, 0, 0, 1, 177
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\asset\json\autoReturn.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\asset\json\destination_name.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 23
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\asset\json\message.json", "JSON", 0, 63, 0, 0, 0, 0, 0, 0, 63
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\asset\json\move.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\asset\json\multiple.json", "JSON", 0, 27, 0, 0, 0, 0, 0, 0, 27
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\asset\json\music.json", "JSON", 0, 46, 0, 0, 0, 0, 0, 1, 47
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\asset\json\remote.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\asset\json\variable.json", "JSON", 0, 83, 0, 0, 0, 0, 0, 0, 83
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\complete.php", "PHP", 20, 0, 0, 0, 0, 0, 3, 3, 26
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\component\ajaxLog.php", "PHP", 15, 0, 0, 0, 0, 0, 5, 9, 29
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\component\ajaxscan.php", "PHP", 11, 0, 0, 0, 0, 0, 1, 1, 13
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\component\ajaxwipe.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 1, 7
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\component\ajaxwipeall.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 2, 7
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\component\ajaxwrite.php", "PHP", 18, 0, 0, 0, 0, 0, 3, 1, 22
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\component\autoreturn.php", "PHP", 20, 0, 0, 0, 0, 0, 3, 5, 28
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\component\autostart.php", "PHP", 6, 0, 0, 0, 0, 0, 1, 0, 7
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\component\com.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 6
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\component\error.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 4, 21
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\component\logger.php", "PHP", 94, 0, 0, 0, 0, 0, 37, 16, 147
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\component\modal.php", "PHP", 248, 0, 0, 0, 0, 0, 0, 2, 250
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\component\multiple.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 6, 25
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\component\scanMove.php", "PHP", 6, 0, 0, 0, 0, 0, 1, 0, 7
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\component\scanRemote.php", "PHP", 6, 0, 0, 0, 0, 0, 1, 0, 7
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\component\template.php", "PHP", 71, 0, 0, 0, 0, 0, 8, 4, 83
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\component\wipeMove.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 5
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\component\wipeRemote.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 5
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\component\writeMove.php", "PHP", 17, 0, 0, 0, 0, 0, 6, 0, 23
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\component\writeRemote.php", "PHP", 12, 0, 0, 0, 0, 0, 4, 0, 16
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\debug\camera.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 1, 8
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\debug\get_current_location.json", "JSON", 0, 18, 0, 0, 0, 0, 0, 1, 19
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\debug\get_current_map.json", "JSON", 0, 49, 0, 0, 0, 0, 0, 2, 51
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\debug\get_destination_list.json", "JSON", 0, 107, 0, 0, 0, 0, 0, 1, 108
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\debug\get_map_data.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 1, 8
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\debug\get_map_list.json", "JSON", 0, 173, 0, 0, 0, 0, 0, 0, 173
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\debug\get_move_status.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 1, 7
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\debug\get_sensor_data.json", "JSON", 0, 18, 0, 0, 0, 0, 0, 1, 19
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\debug\get_system_data.json", "JSON", 0, 52, 0, 0, 0, 0, 0, 1, 53
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\debug\history.md", "Markdown", 0, 0, 12, 0, 0, 0, 0, 2, 14
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\debug\req_change_map.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 1, 9
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\debug\req_end_video_image.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 1, 11
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\debug\req_move.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 1, 9
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\debug\req_move_status_reset.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 1, 9
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\debug\req_read_usb_cache.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 1, 8
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\debug\req_relocate.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 1, 9
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\debug\req_route_trace.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 1, 9
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\debug\req_section_route_trace.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 1, 9
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\debug\req_usb_command.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 1, 9
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\debug\req_video_image.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 1, 9
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\destination.php", "PHP", 215, 0, 0, 0, 0, 0, 23, 19, 257
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\error.php", "PHP", 72, 0, 0, 0, 0, 0, 12, 6, 90
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\halt.php", "PHP", 15, 0, 0, 0, 0, 0, 3, 3, 21
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\index.php", "PHP", 13, 0, 0, 0, 0, 0, 3, 1, 17
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\map.php", "PHP", 15, 0, 0, 0, 0, 0, 3, 1, 19
"\\wsl.localhost\Ubuntu\home\shig\sr\vehicle\htdocs\intruder3\onmove.php", "PHP", 30, 0, 0, 0, 0, 0, 3, 2, 35
